C320_SANTA_CRUZ(config)#show gpon onu state gpon-olt_1/1/1
OnuIndex   Admin State  OMCC State  Phase State  Channel    
--------------------------------------------------------------
1/1/1:129   enable       enable      working      1(GPON)
1/1/1:130   enable       enable      working      1(GPON)
1/1/1:131   enable       disable     OffLine      1(GPON)
1/1/1:132   enable       disable     OffLine      1(GPON)
1/1/1:133   enable       enable      working      1(GPON)
1/1/1:134   enable       enable      working      1(GPON)
1/1/1:135   enable       disable     OffLine      1(GPON)
1/1/1:136   enable       disable     OffLine      1(GPON)
1/1/1:137   enable       enable      working      1(GPON)
1/1/1:138   enable       enable      working      1(GPON)
1/1/1:139   enable       disable     OffLine      1(GPON)
1/1/1:140   enable       disable     OffLine      1(GPON)
1/1/1:141   enable       enable      working      1(GPON)
1/1/1:142   enable       enable      working      1(GPON)
1/1/1:143   enable       disable     OffLine      1(GPON)
1/1/1:144   enable       disable     OffLine      1(GPON)
1/1/1:145   enable       enable      working      1(GPON)
1/1/1:146   enable       enable      working      1(GPON)
1/1/1:147   enable       disable     OffLine      1(GPON)
1/1/1:148   enable       disable     OffLine      1(GPON)
1/1/1:149   enable       enable      working      1(GPON)
1/1/1:150   enable       enable      working      1(GPON)
1/1/1:151   enable       disable     OffLine      1(GPON)
1/1/1:152   enable       disable     OffLine      1(GPON)
1/1/1:153   enable       enable      working      1(GPON)
1/1/1:154   enable       enable      working      1(GPON)
1/1/1:155   enable       disable     OffLine      1(GPON)
1/1/1:156   enable       disable     OffLine      1(GPON)
1/1/1:157   enable       enable      working      1(GPON)
1/1/1:158   enable       enable      working      1(GPON)
1/1/1:159   enable       disable     OffLine      1(GPON)
1/1/1:160   enable       disable     OffLine      1(GPON)
1/1/1:161   enable       enable      working      1(GPON)
1/1/1:162   enable       enable      working      1(GPON)
1/1/1:163   enable       disable     OffLine      1(GPON)
1/1/1:164   enable       disable     OffLine      1(GPON)
1/1/1:165   enable       enable      working      1(GPON)
1/1/1:166   enable       enable      working      1(GPON)
1/1/1:167   enable       disable     OffLine      1(GPON)
1/1/1:168   enable       disable     OffLine      1(GPON)
1/1/1:169   enable       enable      working      1(GPON)
1/1/1:170   enable       enable      working      1(GPON)
1/1/1:171   enable       disable     OffLine      1(GPON)
1/1/1:172   enable       disable     OffLine      1(GPON)
1/1/1:173   enable       enable      working      1(GPON)
1/1/1:174   enable       enable      working      1(GPON)
1/1/1:175   enable       disable     OffLine      1(GPON)
1/1/1:176   enable       disable     OffLine      1(GPON)
1/1/1:177   enable       enable      working      1(GPON)
1/1/1:178   enable       enable      working      1(GPON)
1/1/1:179   enable       disable     OffLine      1(GPON)
1/1/1:180   enable       disable     OffLine      1(GPON)
1/1/1:181   enable       enable      working      1(GPON)
1/1/1:182   enable       enable      working      1(GPON)
1/1/1:183   enable       disable     OffLine      1(GPON)
1/1/1:184   enable       disable     OffLine      1(GPON)
1/1/1:185   enable       enable      working      1(GPON)
1/1/1:186   enable       enable      working      1(GPON)
1/1/1:187   enable       disable     OffLine      1(GPON)
1/1/1:188   enable       disable     OffLine      1(GPON)
1/1/1:189   enable       enable      working      1(GPON)
1/1/1:190   enable       enable      working      1(GPON)
1/1/1:191   enable       disable     OffLine      1(GPON)
1/1/1:192   enable       disable     OffLine      1(GPON)
1/1/1:193   enable       enable      working      1(GPON)
1/1/1:194   enable       enable      working      1(GPON)
1/1/1:195   enable       disable     OffLine      1(GPON)
1/1/1:196   enable       disable     OffLine      1(GPON)
1/1/1:197   enable       enable      working      1(GPON)
1/1/1:198   enable       enable      working      1(GPON)
1/1/1:199   enable       disable     OffLine      1(GPON)
1/1/1:200   enable       disable     OffLine      1(GPON)
ONU Number: 96/106
